contextId	pageId	pageRev	tableIndex	title	headers	caption	tagAbove	textAbove	tagBelow	textBelow
csv/200-csv/0.csv	236128	600647606	0	Renaissance (band)	Discography|Studio albums		h3	Studio albums	h3	Live albums
csv/200-csv/1.csv	291520	599434140	0	Mischa Barton	Filmography|Film		h3	Film	h3	Television
csv/200-csv/3.csv	58596	602483764	0	Triple Crown of Thoroughbred Racing	United States Triple Crowns|Triple Crown winners	List of US Triple Crown Winners	h3	Triple Crown winners	h3	Failed Triple Crown attempts
csv/200-csv/4.csv	37577	591165461	3	1994 European Men's Handball Championship			None		None	
csv/200-csv/7.csv	2162	600861580	10	Afrikaans	Afrikaans phrases		p	Afrikaans is a very centralised language, meaning that most of the vowels are pronounced in a very centralised (or schwa-like) way. Although there are many different dialects and accents, the transcription would be fairly standard.	p	It should be noted that in the Dutch language the word "Afrikaans" means African, in the general sense. Consequently Afrikaans is commonly but incorrectly denoted as "Zuid-Afrikaans". This ambiguity also exists in Afrikaans itself and is either resolved in the context of its usage, or by using "Afrikaan" for an African person, and "Afrika-" in the adjective sense.
csv/200-csv/8.csv	93117	601620076	2	Geauga County, Ohio	Education|Private and parochial schools		p	Geauga County is home to eight private, parochial, and/or specialized schools.	h3	Higher education
csv/200-csv/9.csv	22689	602064481	0	Oncogene	Classification		p	There are several systems for classifying oncogenes,[16][17] but there is not yet a widely accepted standard. They are sometimes grouped both spatially (moving from outside the cell inwards) and chronologically (parallelling the "normal" process of signal transduction). There are several categories that are commonly used:	p	More detailed information for the above Table:
csv/200-csv/10.csv	164536	602452515	0	Aviation accidents and incidents	Statistics|Aircraft Crashes Record Office (ACRO)		div	TWA Flight 800.	table	Air accident fatalities recorded by ACRO 1918–2009\nAir accident incidents recorded by ACRO 1918–2009
csv/200-csv/11.csv	99463	600811704	0	The French Connection (film)	Awards and nominations		h2	Awards and nominations	p	In Addition, the American Film Institute recognizes The French Connection on several of its lists.
csv/200-csv/12.csv	65446	601797427	0	Zoë Wanamaker	Awards and nominations		p	year given is year of ceremony	ul	In 2006, Wanamaker and the rest of the cast of Awake and Sing! won a special Drama Desk award for Outstanding Ensemble Performance.
csv/200-csv/14.csv	213878	601707000	0	Bad Boy Records	Artists|Current artists		h3	Current artists	h2	Discography
