EventId,EventTemplate,Occurrences
E208,instruction cache parity error corrected,105924
E93,MidplaneSwitchController performing bit sparing on <*> bit <*>,964
E310,generating core.<*>,1706751
E94,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*> bit <*>",33939
E218,<*> L3 <*> error(s) (dcr <*>) detected and corrected,4978
E314,"CE sym <*>, at <*>, mask <*>",201206
E191,total of <*> ddr error(s) detected and corrected,28485
E95,ddr: activating redundant bit steering: rank=<*> symbol=<*>,1314
E86,"ddr: excessive soft failures, consider replacing the card",41
E35,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",47504
E237,<*> double-hummer alignment exceptions,295764
E99,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,7847
E98,idoproxydb has been started: $Name: <*> $ Input parameters: <*>,114
E280,ciodb has been restarted.,129
E118,ciod: LOGIN chdir(<*>) failed: No such file or directory,43647
E285,data TLB error interrupt,152734
E301,instruction address: <*>,51227
E286,machine check interrupt,161
E265,machine check status register: <*>,246
E220,summary...........................<*>,244
E234,instruction plb error.............<*>,298
E248,data read plb error...............<*>,297
E246,data write plb error..............<*>,296
E227,tlb error.........................<*>,296
E238,i-cache parity error..............<*>,296
E249,d-cache search parity error.......<*>,294
E255,d-cache flush parity error.......<*>,294
E243,imprecise machine check...........<*>,289
E294,machine state register: <*>,8459
E235,wait state enable.................<*>,6745
E251,critical input interrupt enable...<*>,6559
E250,external input interrupt enable...<*>,6556
E256,"problem state (<*>=sup,<*>=usr).......<*>",6546
E247,floating point instr. enabled.....<*>,6541
E239,machine check enable..............<*>,6538
E262,floating pt ex mode <*> enable......<*>,13044
E241,debug wait enable.................<*>,6524
E236,debug interrupt enable............<*>,6521
E233,instruction address space.........<*>,6506
E242,data address space................<*>,6503
E267,core configuration register: <*>,6431
E174,disable store gathering..................<*>,6495
E197,disable apu instruction broadcast........<*>,2396
E171,disable trace broadcast..................<*>,2393
E203,guaranteed instruction cache block touch.<*>,2390
E205,guaranteed data cache block touch........<*>,2389
E183,force load/store alignment...............<*>,2389
E169,icache prefetch depth....................<*>,2389
E269,general purpose registers:,2318
E273,special purpose registers:,2316
E313,lr:<*> cr:<*> xer:<*> ctr:<*>,2316
E264,rts panic! - stopping execution,3983
E70,<*> torus receiver <*> input pipe error(s) (dcr <*>) detected and corrected,10487
E306,rts internal error,2187
E279,ciod: Message code <*> is not <*> or <*>,2278
E80,ciod: pollControlDescriptors: Detected the debugger died.,6443
E104,ciod: for node <*> read continuation request but ioState is <*>,395
E145,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,2569
E159,ciod: LOGIN chdir(<*>) failed: Permission denied,440
E97,machine check interrupt (bit=<*>): L3 major internal error,57
E274,L3 global control register: <*>,48
E158,start initialization.....................<*>,48
E161,start retagging..........................<*>,48
E154,start flushing...........................<*>,48
E160,start prefetching........................<*>,48
E177,disable speculative access...............<*>,48
E215,close EDRAM pages as soon as possible....<*>,48
E200,size of scratchpad portion of L3.........<*> (<*>),48
E210,disable all access to cache directory....<*>,48
E198,write buffer commit threshold............<*>,48
E199,size of DDR we are caching...............<*> (<*>),48
E212,prefetch depth for core <*>................<*>,96
E202,max number of outstanding prefetches.....<*>,48
E193,turn on hidden refreshes.................<*>,48
E217,disable write lines <*>..................<*>,48
E293,L3 ecc control register: <*>,48
E114,disable flagging of DDR UE's as major internal error.<*>,47
E300,L3 ecc status register: <*>,47
E214,correctable error detected in directory <*>,94
E143,uncorrectable error detected in directory <*>....<*>,94
E216,correctable error detected in EDRAM bank <*>,94
E164,uncorrectable error detected in EDRAM bank <*>...<*>,94
E132,parity error in bank <*>.........................<*>,94
E126,uncorrectable error detected in external DDR...<*>,47
E144,parity error in read queue <*>...................<*>,94
E83,number of correctable errors detected in L3 directories...<*>,47
E292,interrupt threshold...<*>,94
E82,number of correctable errors detected in L3 EDRAMs........<*>,47
E90,number of lines with parity errors written to L3 EDRAMs...<*>,47
E275,DDR machine check register: <*> <*>,47
E109,memory and bus summary...........................<*>,47
E105,command manager unit summary.....................<*>,47
E106,memory manager uncorrectable error...............<*>,47
E107,memory manager strobe gate.......................<*>,47
E117,memory manager address parity error..............<*>,47
E102,memory manager miscompare........................<*>,47
E110,memory manager address error.....................<*>,47
E115,memory manager store buffer parity...............<*>,47
E116,memory manager RMW buffer parity.................<*>,47
E113,memory manager refresh counter timeout...........<*>,47
E108,memory manager refresh contention................<*>,47
E96,state machine....................................<*>,47
E122,memory manager / command manager address parity..<*>,47
E103,regctl scancom interface.........................<*>,47
E287,capture valid.........<*>,47
E282,symbol................<*>,47
E281,mask..................<*>,47
E283,miscompare............<*>,47
E299,address parity error..<*>,47
E290,correctable error.....<*>,47
E289,qw trapped............<*>,47
E288,chip select...........<*>,47
E46,"PrepareForService shutting down NodeCard(<*>, <*>, <*>, <*>, <*>) as part of Service Action <*>",1522
E30,EndServiceAction is restarting the NodeCards in midplane <*> as part of Service Action <*>,338
E252,EndServiceAction <*> performed upon <*> by <*>,237
E259,Node card is not fully functional,17364
E167,Can not get assembly information for node card,17305
E45,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>",21356
E129,machine check interrupt (bit=<*>): L2 DCU read error,3
E63,<*> torus sender <*> retransmission error(s) (dcr <*>) detected and corrected,1145
E131,L3 correctable errors exceeds threshold (iar <*> lr <*>),20
E272,Starting SystemController,71
E291,Controlling BG/L rows [ <*> ],70
E266,Running as background command,70
E296,data storage interrupt,63493
E268,exception syndrome register: <*>,18013
E130,machine check: i-fetch......................<*>,18017
E140,program interrupt: illegal instruction......<*>,13920
E135,program interrupt: privileged instruction...<*>,9824
E138,program interrupt: trap instruction.........<*>,9824
E128,floating point operation....................<*>,9824
E123,store operation.............................<*>,9824
E176,data store interrupt caused by dcbf.........<*>,9823
E178,data store interrupt caused by icbi.........<*>,9823
E124,auxiliary processor.........................<*>,8419
E142,program interrupt: unimplemented operation..<*>,8102
E127,byte ordering exception.....................<*>,8102
E139,program interrupt: imprecise exception......<*>,8102
E156,program interrupt: fp cr update.............<*>,8102
